"규모별","산업별","항목","단위","2007 년","2006 년","2005 년","2004 년",
"전규모(10인이상)","금속광업(11)","현금급여총계[천원]","천원","2439.5","2261","1779.2","1709.8",
"전규모(10인이상)","금속광업(11)","정액및초과[천원]","천원","2403.7","2119.98335","1680","1569.4",
"전규모(10인이상)","금속광업(11)","상여금등특별급여[천원]","천원","35.8","141.05393","99.2","140.4",
"전규모(10인이상)","금속광업(11)","현금급여외 노동비용(계)[천원]","천원","962.3","677.8","655.9","637.2",
"전규모(10인이상)","금속광업(11)","퇴직금등비용[천원]","천원","300.1","112.1","139.9","105.9",
"전규모(10인이상)","금속광업(11)","현물지급비용[천원]","천원","1.8","0","0","0",
"전규모(10인이상)","금속광업(11)","법정복리비[천원]","천원","437.6","448.3","371.1","374.7",
"전규모(10인이상)","금속광업(11)","법정외복리비[천원]","천원","219.9","114.8","139.6","156.1",
"전규모(10인이상)","금속광업(11)","채용관련비용(모집비)[천원]","천원","0","0","0",".1",
"전규모(10인이상)","금속광업(11)","교육훈련비[천원]","천원","2.9",".9",".6",".3",
"전규모(10인이상)","금속광업(11)","기타노동비용[천원]","천원","0","1.7","4.6","0",
"전규모(10인이상)","비금속광물 광업(연료용 제외)(12)","노동비용총액[천원]","천원","3278.3","3044.6","2922.7","2747.3",
"전규모(10인이상)","비금속광물 광업(연료용 제외)(12)","현금급여총계[천원]","천원","2508.9","2396.3","2329.7","2186.9",
"전규모(10인이상)","비금속광물 광업(연료용 제외)(12)","정액및초과[천원]","천원","2195.4","2096.69716","1961.9","1876.6",
"전규모(10인이상)","비금속광물 광업(연료용 제외)(12)","상여금등특별급여[천원]","천원","313.5","299.60402","367.9","310.3",
"전규모(10인이상)","비금속광물 광업(연료용 제외)(12)","현금급여외 노동비용(계)[천원]","천원","769.4","648.3","593","560.4",
"전규모(10인이상)","비금속광물 광업(연료용 제외)(12)","퇴직금등비용[천원]","천원","213.2","137","146.8","145.8",
"전규모(10인이상)","비금속광물 광업(연료용 제외)(12)","현물지급비용[천원]","천원","1.7","3.5","1.9","2.2",
"전규모(10인이상)","비금속광물 광업(연료용 제외)(12)","법정복리비[천원]","천원","285.9","271.5","255.8","248.8",
"전규모(10인이상)","비금속광물 광업(연료용 제외)(12)","법정외복리비[천원]","천원","249.7","222.3","182.1","156.2",
"전규모(10인이상)","비금속광물 광업(연료용 제외)(12)","채용관련비용(모집비)[천원]","천원",".1",".8",".8","1.7",
"전규모(10인이상)","비금속광물 광업(연료용 제외)(12)","교육훈련비[천원]","천원","2","1.9","1.1","1.6",
"전규모(10인이상)","비금속광물 광업(연료용 제외)(12)","기타노동비용[천원]","천원","16.8","11.4","4.5","4",
"전규모(10인이상)","제 조 업(15-37)","노동비용총액[천원]","천원","3812.2","3610.1","3357.2","3238.2",
"전규모(10인이상)","제 조 업(15-37)","현금급여총계[천원]","천원","2978.4","2805.7","2633.3","2565",
"전규모(10인이상)","제 조 업(15-37)","정액및초과[천원]","천원","2235.1","2129.48316","1975.4","1867.2",
"전규모(10인이상)","제 조 업(15-37)","상여금등특별급여[천원]","천원","743.2","676.21106","657.9","697.8",
"전규모(10인이상)","제 조 업(15-37)","현금급여외 노동비용(계)[천원]","천원","833.8","804.5","723.9","673.2",
"전규모(10인이상)","제 조 업(15-37)","퇴직금등비용[천원]","천원","270.3","263.3","256.9","247.9",
"전규모(10인이상)","제 조 업(15-37)","현물지급비용[천원]","천원","4.7","4.8","4.6","3.9",
"전규모(10인이상)","제 조 업(15-37)","법정복리비[천원]","천원","250.1","241.1","217.3","198.8",
"전규모(10인이상)","제 조 업(15-37)","법정외복리비[천원]","천원","264.1","252.7","204.1","184.1",
"전규모(10인이상)","제 조 업(15-37)","채용관련비용(모집비)[천원]","천원","3","3.4","4.5","3.5",
"전규모(10인이상)","제 조 업(15-37)","교육훈련비[천원]","천원","32.3","30.2","27.6","24.1",
"전규모(10인이상)","제 조 업(15-37)","기타노동비용[천원]","천원","9.2","9","8.9","10.9",
"전규모(10인이상)","음식료품 제조업(15)","노동비용총액[천원]","천원","2777.2","3094.4","2874","2755.5",
"전규모(10인이상)","음식료품 제조업(15)","현금급여총계[천원]","천원","2125","2366.9","2245.4","2168.6",
"전규모(10인이상)","음식료품 제조업(15)","정액및초과[천원]","천원","1687.1","1886.17338","1783.6","1696.7",
"전규모(10인이상)","음식료품 제조업(15)","상여금등특별급여[천원]","천원","437.9","480.7356","461.9","471.8",
"전규모(10인이상)","음식료품 제조업(15)","현금급여외 노동비용(계)[천원]","천원","652.2","727.5","628.6","586.9",
"전규모(10인이상)","음식료품 제조업(15)","퇴직금등비용[천원]","천원","197.2","273","245.4","243.6",
"전규모(10인이상)","음식료품 제조업(15)","현물지급비용[천원]","천원","3.7","4","2.3","2.3",
"전규모(10인이상)","음식료품 제조업(15)","법정복리비[천원]","천원","179.1","205.3","181.8","170.7",
"전규모(10인이상)","음식료품 제조업(15)","법정외복리비[천원]","천원","235.6","211.3","159.4","136.4",
"전규모(10인이상)","음식료품 제조업(15)","채용관련비용(모집비)[천원]","천원","1.3","2.1","10.4","2.9",
"전규모(10인이상)","음식료품 제조업(15)","교육훈련비[천원]","천원","25.1","21.6","21.3","19.4",
"전규모(10인이상)","음식료품 제조업(15)","기타노동비용[천원]","천원","10.2","10.2","7.9","11.7",
"전규모(10인이상)","담배제조업(16)","노동비용총액[천원]","천원","5590.2","6161.1","5683.8","5189.6",
"전규모(10인이상)","담배제조업(16)","현금급여총계[천원]","천원","4736.7","5434","5021.1","4378.2",
"전규모(10인이상)","담배제조업(16)","정액및초과[천원]","천원","3371.4","4416.94586","3883.1","3660",
"전규모(10인이상)","담배제조업(16)","상여금등특별급여[천원]","천원","1365.3","1017.06709","1138","718.2",
"전규모(10인이상)","담배제조업(16)","현금급여외 노동비용(계)[천원]","천원","853.5","727.1","662.7","811.4",
"전규모(10인이상)","담배제조업(16)","퇴직금등비용[천원]","천원","169.1","106.9","100.6","353.8",
"전규모(10인이상)","담배제조업(16)","현물지급비용[천원]","천원","0","0","4.6","5",
"전규모(10인이상)","담배제조업(16)","법정복리비[천원]","천원","319.5","368.2","335.1","298.4",
"전규모(10인이상)","담배제조업(16)","법정외복리비[천원]","천원","165.5","224.8","207","137.9",
"전규모(10인이상)","담배제조업(16)","채용관련비용(모집비)[천원]","천원",".6","2.8",".6",".6",
"전규모(10인이상)","담배제조업(16)","교육훈련비[천원]","천원","198.9","21.5","14.1","15.1",
"전규모(10인이상)","담배제조업(16)","기타노동비용[천원]","천원","0","3",".8",".6",
"전규모(10인이상)","섬유제품 제조업(봉제의복 제외)(17)","노동비용총액[천원]","천원","2726.1","2906.9","2643.9","2423.4",
"전규모(10인이상)","섬유제품 제조업(봉제의복 제외)(17)","현금급여총계[천원]","천원","2137.9","2234.6","2036.7","1901.6",
"전규모(10인이상)","섬유제품 제조업(봉제의복 제외)(17)","정액및초과[천원]","천원","1806","1858.99606","1661.3","1562.7",
"전규모(10인이상)","섬유제품 제조업(봉제의복 제외)(17)","상여금등특별급여[천원]","천원","331.9","375.59578","375.4","338.9",
"전규모(10인이상)","섬유제품 제조업(봉제의복 제외)(17)","현금급여외 노동비용(계)[천원]","천원","588.2","672.3","607.2","521.8",
"전규모(10인이상)","섬유제품 제조업(봉제의복 제외)(17)","퇴직금등비용[천원]","천원","192.1","304.4","289.7","202.8",
"전규모(10인이상)","섬유제품 제조업(봉제의복 제외)(17)","현물지급비용[천원]","천원",".3","1.4",".5",".6",
"전규모(10인이상)","섬유제품 제조업(봉제의복 제외)(17)","법정복리비[천원]","천원","195.6","190.9","176.4","159",
"전규모(10인이상)","섬유제품 제조업(봉제의복 제외)(17)","법정외복리비[천원]","천원","162.3","159.7","126.2","111.5",
"전규모(10인이상)","섬유제품 제조업(봉제의복 제외)(17)","채용관련비용(모집비)[천원]","천원","3.8","1",".6","1.1",
"전규모(10인이상)","섬유제품 제조업(봉제의복 제외)(17)","교육훈련비[천원]","천원","24.6","7.9","7.8","8.1",
"전규모(10인이상)","섬유제품 제조업(봉제의복 제외)(17)","기타노동비용[천원]","천원","9.5","6.9","5.9","38.6",
"전규모(10인이상)","봉제의복 및 모피제품 제조업(18)","노동비용총액[천원]","천원","2365.2","2324.6","2113.3","1945.5",
"전규모(10인이상)","봉제의복 및 모피제품 제조업(18)","현금급여총계[천원]","천원","1902.7","1901.7","1733.2","1578.6",
"전규모(10인이상)","봉제의복 및 모피제품 제조업(18)","정액및초과[천원]","천원","1726.8","1662.41329","1488.5","1360",
"전규모(10인이상)","봉제의복 및 모피제품 제조업(18)","상여금등특별급여[천원]","천원","175.9","239.2976","244.8","218.6",
"전규모(10인이상)","봉제의복 및 모피제품 제조업(18)","현금급여외 노동비용(계)[천원]","천원","462.5","422.9","380","366.9",
"전규모(10인이상)","봉제의복 및 모피제품 제조업(18)","퇴직금등비용[천원]","천원","226.8","173.1","166.9","139.9",
"전규모(10인이상)","봉제의복 및 모피제품 제조업(18)","현물지급비용[천원]","천원",".2",".3",".2",".6",
"전규모(10인이상)","봉제의복 및 모피제품 제조업(18)","법정복리비[천원]","천원","150","144.4","122.5","112.2",
"전규모(10인이상)","봉제의복 및 모피제품 제조업(18)","법정외복리비[천원]","천원","69.7","93.2","80.9","70.5",
"전규모(10인이상)","봉제의복 및 모피제품 제조업(18)","채용관련비용(모집비)[천원]","천원",".3","1.5",".5",".4",
"전규모(10인이상)","봉제의복 및 모피제품 제조업(18)","교육훈련비[천원]","천원","12.4","7.3","7.5","8.5",
"전규모(10인이상)","봉제의복 및 모피제품 제조업(18)","기타노동비용[천원]","천원","3.1","3.1","1.4","34.7",
"전규모(10인이상)","가죽, 가방 및 신발 제조업(19)","노동비용총액[천원]","천원","2649.2","2750.5","2401.1","2241.5",
"전규모(10인이상)","가죽, 가방 및 신발 제조업(19)","현금급여총계[천원]","천원","2082.9","2172.7","1883.1","1759.8",
"전규모(10인이상)","가죽, 가방 및 신발 제조업(19)","정액및초과[천원]","천원","1673.5","1854.24669","1614.9","1480.7",
"전규모(10인이상)","가죽, 가방 및 신발 제조업(19)","상여금등특별급여[천원]","천원","409.3","318.42021","268.2","279.2",
"전규모(10인이상)","가죽, 가방 및 신발 제조업(19)","현금급여외 노동비용(계)[천원]","천원","566.3","577.9","518","481.6",
"전규모(10인이상)","가죽, 가방 및 신발 제조업(19)","퇴직금등비용[천원]","천원","247.7","252.4","257.2","237.5",
"전규모(10인이상)","가죽, 가방 및 신발 제조업(19)","현물지급비용[천원]","천원",".6",".2","3.3",".9",
"전규모(10인이상)","가죽, 가방 및 신발 제조업(19)","법정복리비[천원]","천원","185.1","184.4","156","141.9",
"전규모(10인이상)","가죽, 가방 및 신발 제조업(19)","법정외복리비[천원]","천원","119.9","128.8","92.8","80.1",
"전규모(10인이상)","가죽, 가방 및 신발 제조업(19)","채용관련비용(모집비)[천원]","천원","1.8",".5",".5",".3",
"전규모(10인이상)","가죽, 가방 및 신발 제조업(19)","교육훈련비[천원]","천원","7.8","4.6","2.9","2.8",
"전규모(10인이상)","가죽, 가방 및 신발 제조업(19)","기타노동비용[천원]","천원","3.4","6.9","5.3","18.2",
"전규모(10인이상)","목재 및 나무제품 제조업(가구제외)(20)","노동비용총액[천원]","천원","3010.7","2720","2463","2651.9",
"전규모(10인이상)","목재 및 나무제품 제조업(가구제외)(20)","현금급여총계[천원]","천원","2366.6","2100.4","1918.7","2000.4",
"전규모(10인이상)","목재 및 나무제품 제조업(가구제외)(20)","정액및초과[천원]","천원","2220","1872.34037","1706.5","1747.3",
"전규모(10인이상)","목재 및 나무제품 제조업(가구제외)(20)","상여금등특별급여[천원]","천원","146.7","228.05811","212.2","253",
"전규모(10인이상)","목재 및 나무제품 제조업(가구제외)(20)","현금급여외 노동비용(계)[천원]","천원","644.1","619.6","544.3","651.5",
"전규모(10인이상)","목재 및 나무제품 제조업(가구제외)(20)","퇴직금등비용[천원]","천원","158.9","208.7","187.5","283.8",
"전규모(10인이상)","목재 및 나무제품 제조업(가구제외)(20)","현물지급비용[천원]","천원","0","0",".9",".1",
"전규모(10인이상)","목재 및 나무제품 제조업(가구제외)(20)","법정복리비[천원]","천원","257.6","225.1","212.8","192.1",
"전규모(10인이상)","목재 및 나무제품 제조업(가구제외)(20)","법정외복리비[천원]","천원","212.3","175.7","130.4","166",
"전규모(10인이상)","목재 및 나무제품 제조업(가구제외)(20)","채용관련비용(모집비)[천원]","천원","1.3",".5",".6",".3",
"전규모(10인이상)","목재 및 나무제품 제조업(가구제외)(20)","교육훈련비[천원]","천원","12.8","5.4","7","8.2",
"전규모(10인이상)","목재 및 나무제품 제조업(가구제외)(20)","기타노동비용[천원]","천원","1.2","4.2","5.2","1.1",
"전규모(10인이상)","펄프, 종이 및 종이제품 제조업(21)","노동비용총액[천원]","천원","3422.8","3352.4","3444.8","3071.5",
"전규모(10인이상)","펄프, 종이 및 종이제품 제조업(21)","현금급여총계[천원]","천원","2710.1","2570.6","2513.9","2443.7",
"전규모(10인이상)","펄프, 종이 및 종이제품 제조업(21)","정액및초과[천원]","천원","2116.2","1985.31987","1970.5","1875.4",
"전규모(10인이상)","펄프, 종이 및 종이제품 제조업(21)","상여금등특별급여[천원]","천원","593.9","585.24182","543.4","568.3",
"전규모(10인이상)","펄프, 종이 및 종이제품 제조업(21)","현금급여외 노동비용(계)[천원]","천원","712.7","781.9","931","627.8",
"전규모(10인이상)","펄프, 종이 및 종이제품 제조업(21)","퇴직금등비용[천원]","천원","226.4","322.7","541","239.3",
"전규모(10인이상)","펄프, 종이 및 종이제품 제조업(21)","현물지급비용[천원]","천원",".2",".5",".7",".3",
"전규모(10인이상)","펄프, 종이 및 종이제품 제조업(21)","법정복리비[천원]","천원","254.3","234.5","214.4","206.2",
"전규모(10인이상)","펄프, 종이 및 종이제품 제조업(21)","법정외복리비[천원]","천원","209.6","185.6","153.2","161",
"전규모(10인이상)","펄프, 종이 및 종이제품 제조업(21)","채용관련비용(모집비)[천원]","천원","1.3",".8","3.1","2.1",
"전규모(10인이상)","펄프, 종이 및 종이제품 제조업(21)","교육훈련비[천원]","천원","17.6","30.5","13","14.4",
"전규모(10인이상)","펄프, 종이 및 종이제품 제조업(21)","기타노동비용[천원]","천원","3.3","7.3","5.7","4.6",
"전규모(10인이상)","출판, 인쇄 및 기록매체 복제업(22)","노동비용총액[천원]","천원","2969.9","3124.6","2877","2805.6",
"전규모(10인이상)","출판, 인쇄 및 기록매체 복제업(22)","현금급여총계[천원]","천원","2379.6","2422.4","2270.8","2279.5",
"전규모(10인이상)","출판, 인쇄 및 기록매체 복제업(22)","정액및초과[천원]","천원","2144.6","2052.84488","1909.5","1859.8",
"전규모(10인이상)","출판, 인쇄 및 기록매체 복제업(22)","상여금등특별급여[천원]","천원","235","369.51861","361.4","419.7",
"전규모(10인이상)","출판, 인쇄 및 기록매체 복제업(22)","현금급여외 노동비용(계)[천원]","천원","590.3","702.2","606.1","526.1",
"전규모(10인이상)","출판, 인쇄 및 기록매체 복제업(22)","퇴직금등비용[천원]","천원","201.2","345.8","243.3","212.9",
"전규모(10인이상)","출판, 인쇄 및 기록매체 복제업(22)","현물지급비용[천원]","천원",".1",".5",".7",".9",
"전규모(10인이상)","출판, 인쇄 및 기록매체 복제업(22)","법정복리비[천원]","천원","190.2","188.9","176.9","171.9",
"전규모(10인이상)","출판, 인쇄 및 기록매체 복제업(22)","법정외복리비[천원]","천원","164.2","132.8","131.7","98.1",
"전규모(10인이상)","출판, 인쇄 및 기록매체 복제업(22)","채용관련비용(모집비)[천원]","천원","1.3","2.3","1.7","2.3",
"전규모(10인이상)","출판, 인쇄 및 기록매체 복제업(22)","교육훈련비[천원]","천원","7.5","26.3","29.8","35.7",
"전규모(10인이상)","출판, 인쇄 및 기록매체 복제업(22)","기타노동비용[천원]","천원","25.7","5.6","21.9","4.2",
"전규모(10인이상)","코크스, 석유 정제품 및 핵연료 제조업(23)","노동비용총액[천원]","천원","8231.4","7235.5","6920.3","7054.5",
"전규모(10인이상)","코크스, 석유 정제품 및 핵연료 제조업(23)","현금급여총계[천원]","천원","6240.9","5493","5430.7","5348.2",
"전규모(10인이상)","코크스, 석유 정제품 및 핵연료 제조업(23)","정액및초과[천원]","천원","3946.1","3781.98889","3173.9","3009.1",
"전규모(10인이상)","코크스, 석유 정제품 및 핵연료 제조업(23)","상여금등특별급여[천원]","천원","2294.9","1711.03913","2256.8","2339.1",
"전규모(10인이상)","코크스, 석유 정제품 및 핵연료 제조업(23)","현금급여외 노동비용(계)[천원]","천원","1990.4","1742.5","1489.7","1706.4",
"전규모(10인이상)","코크스, 석유 정제품 및 핵연료 제조업(23)","퇴직금등비용[천원]","천원","737.2","695.6","563.2","825.2",
"전규모(10인이상)","코크스, 석유 정제품 및 핵연료 제조업(23)","현물지급비용[천원]","천원","15.4","25.9","25.6","8.3",
"전규모(10인이상)","코크스, 석유 정제품 및 핵연료 제조업(23)","법정복리비[천원]","천원","429.8","429.7","390.3","347.3",
"전규모(10인이상)","코크스, 석유 정제품 및 핵연료 제조업(23)","법정외복리비[천원]","천원","500.3","420","413.3","392.1",
"전규모(10인이상)","코크스, 석유 정제품 및 핵연료 제조업(23)","채용관련비용(모집비)[천원]","천원","13.5","7.5","5.1","5.7",
"전규모(10인이상)","코크스, 석유 정제품 및 핵연료 제조업(23)","교육훈련비[천원]","천원","284.1","148.9","61.9","99.9",
"전규모(10인이상)","코크스, 석유 정제품 및 핵연료 제조업(23)","기타노동비용[천원]","천원","10","14.9","30.2","28.1",
"전규모(10인이상)","화합물 및 화학제품 제조업(24)","노동비용총액[천원]","천원","4644.4","4088.6","3905.9","3773.4",
"전규모(10인이상)","화합물 및 화학제품 제조업(24)","현금급여총계[천원]","천원","3472","3149.9","3057.6","2926.5",
"전규모(10인이상)","화합물 및 화학제품 제조업(24)","정액및초과[천원]","천원","2666.9","2380.88594","2309.1","2211.9",
"전규모(10인이상)","화합물 및 화학제품 제조업(24)","상여금등특별급여[천원]","천원","805.1","768.9978","748.6","714.6",
"전규모(10인이상)","화합물 및 화학제품 제조업(24)","현금급여외 노동비용(계)[천원]","천원","1172.4","938.7","848.3","846.9",
"전규모(10인이상)","화합물 및 화학제품 제조업(24)","퇴직금등비용[천원]","천원","417.4","316.8","327.7","380.3",
"전규모(10인이상)","화합물 및 화학제품 제조업(24)","현물지급비용[천원]","천원","5.3","1.6","15.6","2.7",
"전규모(10인이상)","화합물 및 화학제품 제조업(24)","법정복리비[천원]","천원","276.1","278.1","230.6","221.7",
"전규모(10인이상)","화합물 및 화학제품 제조업(24)","법정외복리비[천원]","천원","393","268.8","205.4","174.2",
"전규모(10인이상)","화합물 및 화학제품 제조업(24)","채용관련비용(모집비)[천원]","천원","5.5","2.6","3.6","7.9",
"전규모(10인이상)","화합물 및 화학제품 제조업(24)","교육훈련비[천원]","천원","57.9","58.2","55","48.6",
"전규모(10인이상)","화합물 및 화학제품 제조업(24)","기타노동비용[천원]","천원","17.1","12.7","10.5","11.5",
"전규모(10인이상)","고무 및 플라스틱제품 제조업(25)","노동비용총액[천원]","천원","3148","2904.4","2738.2","2547.1",
"전규모(10인이상)","고무 및 플라스틱제품 제조업(25)","현금급여총계[천원]","천원","2477.4","2286.7","2153.8","2053.5",
"전규모(10인이상)","고무 및 플라스틱제품 제조업(25)","정액및초과[천원]","천원","1968.1","1853.38276","1685.4","1617.3",
"전규모(10인이상)","고무 및 플라스틱제품 제조업(25)","상여금등특별급여[천원]","천원","509.4","433.36431","468.5","436.2",
"전규모(10인이상)","고무 및 플라스틱제품 제조업(25)","현금급여외 노동비용(계)[천원]","천원","670.5","617.7","584.4","493.6",
"전규모(10인이상)","고무 및 플라스틱제품 제조업(25)","퇴직금등비용[천원]","천원","233.2","202.2","232","157.6",
"전규모(10인이상)","고무 및 플라스틱제품 제조업(25)","현물지급비용[천원]","천원","3.1",".9","1.3","1.4",
"전규모(10인이상)","고무 및 플라스틱제품 제조업(25)","법정복리비[천원]","천원","215.2","198.4","178","159.8",
"전규모(10인이상)","고무 및 플라스틱제품 제조업(25)","법정외복리비[천원]","천원","203.5","196.4","156.3","155.3",
"전규모(10인이상)","고무 및 플라스틱제품 제조업(25)","채용관련비용(모집비)[천원]","천원","1.4","1","1","1.3",
"전규모(10인이상)","고무 및 플라스틱제품 제조업(25)","교육훈련비[천원]","천원","10.2","13.6","11.4","13",
"전규모(10인이상)","고무 및 플라스틱제품 제조업(25)","기타노동비용[천원]","천원","4","5.1","4.4","5.1",
"전규모(10인이상)","비금속 광물제품 제조업(26)","노동비용총액[천원]","천원","3619.4","3669.2","3696.5","3283.7",
"전규모(10인이상)","비금속 광물제품 제조업(26)","현금급여총계[천원]","천원","2637.9","2754.6","2647.8","2488.7",
"전규모(10인이상)","비금속 광물제품 제조업(26)","정액및초과[천원]","천원","2073.9","2191.24593","2017.5","1844.2",
"전규모(10인이상)","비금속 광물제품 제조업(26)","상여금등특별급여[천원]","천원","564","563.31893","630.2","644.4",
"전규모(10인이상)","비금속 광물제품 제조업(26)","현금급여외 노동비용(계)[천원]","천원","981.5","914.6","1048.8","795",
"전규모(10인이상)","비금속 광물제품 제조업(26)","퇴직금등비용[천원]","천원","353.9","354.2","559.5","329.4",
"전규모(10인이상)","비금속 광물제품 제조업(26)","현물지급비용[천원]","천원","4.8","1.5","2.3","6.2",
"전규모(10인이상)","비금속 광물제품 제조업(26)","법정복리비[천원]","천원","232.7","264.1","240","219.7",
"전규모(10인이상)","비금속 광물제품 제조업(26)","법정외복리비[천원]","천원","354.4","266.5","219.9","198.8",
"전규모(10인이상)","비금속 광물제품 제조업(26)","채용관련비용(모집비)[천원]","천원",".8","1.9",".9","2.1",
"전규모(10인이상)","비금속 광물제품 제조업(26)","교육훈련비[천원]","천원","29.8","15","16.6","27.6",
"전규모(10인이상)","비금속 광물제품 제조업(26)","기타노동비용[천원]","천원","5.1","11.3","9.4","11.1",
"전규모(10인이상)","제1차 금속산업(27)","노동비용총액[천원]","천원","4656.6","4519.5","4156.9","4169",
"전규모(10인이상)","제1차 금속산업(27)","현금급여총계[천원]","천원","3541.9","3381.7","3114.8","3083.3",
